premium_rate_max,premium_rate_min,premium_rate_mean,premium_rate_num,coverage_Limits_max,coverage_Limits_min,coverage_Limits_mean,coverage_Limits_num,coverage_Limits_step,premium_rate_step,valuable cargo insurance,open cargo policy,warehouse-to-warehouse cargo insurance,named perils cargo insurance,all-risk cargo insurance,voyage policy
4843.74,1044.33,2966.001666666667,6.0,914793.0,265903.0,605382.1666666666,6.0,108147.33333333333,632.235,1.0,0.0,1.0,0.0,1.0,0.0
3335.47,2864.45,3176.5966666666664,3.0,966667.0,273347.0,707042.3333333334,3.0,231105.66666666666,156.00666666666666,0.0,0.0,0.0,1.0,0.0,1.0
3138.43,1356.88,2372.54,4.0,793086.0,309983.0,574587.25,4.0,120774.75,444.38749999999993,1.0,1.0,1.0,0.0,0.0,1.0
3418.15,2390.14,2874.4733333333334,3.0,604715.0,221122.0,473801.3333333333,3.0,127863.33333333333,341.6700000000001,0.0,0.0,1.0,0.0,1.0,1.0
4419.14,1698.42,3057.9674999999997,4.0,950924.0,684362.0,828190.75,4.0,66639.5,679.1800000000001,1.0,0.0,1.0,1.0,0.0,1.0
4333.63,1609.9,2971.7650000000003,2.0,794953.0,462650.0,628801.5,2.0,166150.5,1360.865,0.0,0.0,0.0,1.0,0.0,0.0
2798.44,2589.03,2693.735,2.0,481960.0,215246.0,348603.0,2.0,133356.0,103.70499999999993,1.0,0.0,0.0,1.0,0.0,0.0
3454.82,1926.74,2528.495,4.0,943612.0,544811.0,741603.75,4.0,99699.25,381.02000000000004,0.0,1.0,0.0,0.0,1.0,0.0
4467.89,1316.0,2579.66,4.0,441711.0,314193.0,379237.0,4.0,31878.5,786.9725000000001,0.0,1.0,1.0,1.0,0.0,0.0
1221.41,1221.41,1221.41,1.0,905037.0,905037.0,905037.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4758.22,1727.99,3450.7799999999997,5.0,537268.0,431431.0,477195.4,5.0,21166.4,605.046,0.0,0.0,1.0,1.0,1.0,1.0
4216.72,1193.87,2775.0316666666663,6.0,970995.0,111944.0,598516.1666666666,6.0,143174.16666666666,502.8083333333334,1.0,1.0,0.0,1.0,1.0,0.0
4238.79,3740.97,3949.04,4.0,856960.0,106725.0,454881.25,4.0,187557.75,123.45500000000004,1.0,0.0,1.0,1.0,0.0,0.0
4446.39,1333.1,2593.9166666666665,3.0,682983.0,222165.0,431006.6666666667,3.0,153605.0,1036.7633333333333,0.0,0.0,1.0,0.0,0.0,1.0
4526.37,2824.96,3533.205,4.0,659412.0,175938.0,417393.5,4.0,120867.5,424.35249999999996,0.0,0.0,1.0,0.0,0.0,1.0
3976.56,1679.34,2952.146666666667,6.0,861202.0,134492.0,565899.8333333334,6.0,121117.33333333333,381.87000000000006,0.0,1.0,1.0,1.0,1.0,1.0
4228.49,1060.78,3292.7520000000004,5.0,775945.0,362087.0,571460.0,5.0,82770.6,632.542,1.0,1.0,1.0,1.0,0.0,0.0
4344.63,1303.92,2604.3366666666666,3.0,759447.0,402619.0,522103.0,3.0,118941.66666666667,1012.57,1.0,1.0,1.0,0.0,0.0,0.0
2867.52,1469.76,2279.8933333333334,3.0,526611.0,297676.0,423189.6666666667,3.0,76310.66666666667,464.92,1.0,0.0,0.0,1.0,0.0,0.0
4323.5,1395.64,2653.9100000000003,3.0,930902.0,414275.0,668373.3333333334,3.0,172208.0,974.9533333333333,0.0,1.0,0.0,0.0,1.0,1.0
3254.95,1851.28,2742.765,4.0,730413.0,209606.0,440665.0,4.0,130200.75,349.91749999999996,0.0,0.0,0.0,0.0,1.0,1.0
4077.99,1296.18,2747.6459999999997,5.0,935003.0,326343.0,643213.0,5.0,121731.0,555.362,1.0,0.0,1.0,0.0,0.0,1.0
3726.08,1166.95,2612.9933333333333,6.0,891240.0,313444.0,647533.3333333334,6.0,96298.33333333333,425.5216666666667,1.0,1.0,0.0,0.0,0.0,1.0
4372.54,1034.27,3099.5150000000003,4.0,903905.0,210350.0,489881.75,4.0,173387.75,833.5675,1.0,0.0,0.0,1.0,0.0,1.0
4278.03,1152.28,3461.422,5.0,848359.0,336009.0,573992.4,5.0,102469.0,624.1499999999999,0.0,1.0,1.0,1.0,1.0,0.0
4562.8,2908.95,3792.78,3.0,585742.0,178416.0,351082.0,3.0,135774.33333333334,550.2833333333334,1.0,0.0,1.0,0.0,0.0,0.0
3346.89,1460.09,2757.524,5.0,951219.0,287725.0,638327.8,5.0,132697.8,376.36,1.0,0.0,0.0,0.0,1.0,1.0
4847.16,1109.81,3351.3559999999998,5.0,971230.0,355531.0,693648.8,5.0,123138.8,746.47,1.0,1.0,1.0,0.0,0.0,1.0
4768.86,1022.05,3215.6560000000004,5.0,857827.0,218657.0,601047.8,5.0,127833.0,748.3619999999999,0.0,1.0,0.0,1.0,0.0,1.0
4548.28,1451.52,3024.6024999999995,4.0,948419.0,207711.0,649989.0,4.0,185176.0,773.1899999999999,1.0,1.0,1.0,0.0,0.0,0.0
1264.74,1061.81,1163.275,2.0,325577.0,286365.0,305971.0,2.0,19605.0,100.46500000000003,0.0,1.0,0.0,0.0,0.0,1.0
4305.2,2985.72,3645.46,2.0,954815.0,811369.0,883092.0,2.0,71722.0,658.74,0.0,0.0,0.0,1.0,1.0,0.0
3261.54,3211.42,3236.48,2.0,732392.0,454375.0,593383.5,2.0,139007.5,24.059999999999945,0.0,1.0,0.0,0.0,0.0,0.0
4940.76,3231.7,4162.525,4.0,906019.0,380848.0,649743.0,4.0,131291.75,426.2650000000001,0.0,1.0,0.0,0.0,1.0,1.0
3324.95,1857.67,2823.306666666667,3.0,746800.0,646086.0,684756.3333333334,3.0,33570.333333333336,488.09333333333325,0.0,0.0,0.0,1.0,1.0,1.0
4891.72,1814.27,3715.4800000000005,4.0,482117.0,115951.0,364398.75,4.0,91540.5,768.3625000000001,0.0,1.0,1.0,0.0,1.0,0.0
2426.64,2426.64,2426.64,1.0,840155.0,840155.0,840155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4028.33,1638.08,3141.0175,4.0,901802.0,101852.0,549435.0,4.0,199986.5,596.5625,0.0,0.0,1.0,1.0,0.0,1.0
4358.04,1591.59,2910.865,4.0,944262.0,265324.0,639612.0,4.0,169733.5,690.6125,1.0,1.0,1.0,1.0,0.0,0.0
3790.66,2209.33,2859.8566666666666,3.0,930602.0,131226.0,447837.3333333333,3.0,266457.6666666667,526.11,0.0,0.0,0.0,1.0,1.0,0.0
3763.16,3268.39,3515.7749999999996,2.0,649494.0,125918.0,387706.0,2.0,261787.0,246.385,1.0,1.0,0.0,0.0,0.0,0.0
4478.97,1263.59,3293.4300000000003,6.0,994423.0,177896.0,582514.0,6.0,136086.83333333334,534.8966666666666,1.0,1.0,1.0,0.0,1.0,0.0
4865.24,2310.36,3779.75,5.0,912594.0,290112.0,585407.8,5.0,124495.4,509.97599999999994,1.0,1.0,1.0,0.0,0.0,1.0
4970.78,1404.49,3446.478,5.0,974828.0,404541.0,818286.8,5.0,114056.4,712.2579999999999,1.0,1.0,1.0,0.0,1.0,0.0
4553.51,1711.65,3503.2083333333335,6.0,915587.0,216499.0,639887.0,6.0,116513.66666666667,472.6433333333334,1.0,0.0,1.0,1.0,0.0,1.0
2477.57,2477.57,2477.57,1.0,525532.0,525532.0,525532.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3327.14,1559.47,2358.9125,4.0,489282.0,162921.0,293736.5,4.0,81589.25,440.91749999999996,0.0,1.0,1.0,0.0,0.0,1.0
4840.91,1975.53,3627.86,6.0,963109.0,345628.0,604979.5,6.0,102912.5,476.56333333333333,1.0,0.0,0.0,1.0,1.0,1.0
2294.5,2294.5,2294.5,1.0,633851.0,633851.0,633851.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4820.32,3345.26,4122.0,3.0,959987.0,497414.0,717643.3333333334,3.0,154190.0,490.6866666666665,1.0,0.0,0.0,0.0,0.0,1.0
