Digital Engagement Score,Use of Technology,Fraud Detection Efficiency,Comfort_score
55.93,1,57.04193,2
73.44,0,22.888096,1
55.73999999999999,1,81.877149,2
58.18,2,80.78854,3
80.14999999999999,2,90.49491,3
36.40000000000001,1,19.57691,0
103.42,0,21.059568,1
67.09,2,22.279416,1
49.61,0,19.17377,0
99.08,2,23.843754,1
9.07,1,27.513226,0
45.40000000000001,1,48.768621,2
75.83,0,18.381632,1
90.62,0,8.850365,1
99.42,2,16.543295,1
21.92,2,12.628713,0
41.77,2,11.938116,0
62.84,1,56.69428599999999,3
95.42,2,5.689234,1
23.18,0,6.553434999999999,0
11.25,0,87.24893600000001,2
94.23,2,69.10592000000001,3
63.73999999999999,1,18.8426,1
85.33,1,6.389621000000001,1
21.25,2,59.71028,2
88.09,2,71.297898,3
75.76,0,26.538054,1
100.93,1,8.054081000000002,1
18.93,0,29.874845,0
97.02,0,29.1663,1
70.54,1,79.11067999999999,3
95.16000000000001,2,70.082271,3
14.2,0,69.550134,2
37.87,2,15.149595,0
64.3,2,44.412032,3
58.62,1,36.10352200000001,1
74.16000000000001,2,42.21390599999999,3
38.73,2,28.259166,0
59.97,2,18.79038,1
33.66,1,54.100584,2
42.92,2,52.323972,2
11.75,0,35.2944,0
41.13,1,55.810698,2
100.8,1,75.405309,3
32.73,1,38.885742,0
102.67,2,67.91505599999999,3
52.84,1,61.592502,2
91.5,1,49.435651,3
44.51000000000001,0,0.9433760000000001,0
31.43,2,55.919952,2
26.74,0,61.01004000000001,2
91.86999999999999,2,15.717835,1
40.23,1,19.34128,0
53.97,1,80.365473,2
41.68,1,55.26207,2
29.43,1,62.843571,2
38.97,0,11.854215,0
70.35,1,37.152366,1
49.23,0,7.073572,0
83.28,0,8.513478,1
4.67,2,85.65545,2
58.82,2,61.927156,3
68.57,2,13.4344,1
61.09999999999999,2,8.440088000000001,1
86.1,2,51.72024,3
91.82,1,28.966444,1
7.649999999999999,1,6.141074,0
88.98,1,26.281528,1
99.08,0,28.642902,1
75.5,0,33.093144,1
80.42,1,59.23617,3
21.07,0,57.487032,2
75.61,1,12.419616,1
36.85,1,34.51392,0
34.12,2,18.483762,0
100.23,2,24.532856,1
75.54,0,28.68075,1
78.16,2,54.669496,3
38.44,0,27.971298,0
85.38,2,46.78616,3
58.22,1,55.32219600000001,3
89.30999999999999,1,39.867248,1
93.65,0,46.64798099999999,3
72.85,2,13.761002,1
87.44,1,9.114973,1
56.05,0,21.660496,0
71.11999999999999,0,24.305297,1
54.07,1,33.82236,1
97.75,0,20.456338,1
98.39,1,77.853138,3
85.42,0,60.205554,3
73.22,0,44.908,3
93.34,2,68.84591999999999,3
58.29,2,41.400992,3
68.69,2,54.345507,3
6.92,0,27.471363,0
83.28999999999999,1,94.93251000000001,3
92.53,0,67.31256,3
15.08,1,48.298663,2
50.75,2,11.183085,0
77.11,0,4.084703999999999,1
14.76,2,31.799559,0
62.32,2,58.58129599999999,3
14.35,2,64.64397000000001,2
101.63,0,59.26177300000001,3
87.14,2,78.787334,3
54.51,1,79.716042,2
11.43,0,77.331861,2
28.12,2,91.922302,2
53.95,0,54.30193999999999,3
27.53,2,69.850097,2
32.79,0,55.2303,2
10.63,0,82.32370999999999,2
83.14,1,55.731312,3
80.09,1,89.564617,3
77.64999999999999,1,31.83690399999999,1
91.92,2,31.73064,1
32.17,2,50.12424,2
43.19,1,27.190337,0
26.87,0,23.776944,0
31.64,2,82.26284000000001,2
77.44999999999999,0,24.556455,1
78.88,0,29.18544,1
59.36,1,15.810328,1
56.83,0,63.49348699999999,3
30.36,0,58.709,2
45.07,0,76.606236,2
13.67,0,28.867913,0
26.19,1,19.692,0
23.71,0,59.144021,2
85.24,0,27.610429,1
64.12,0,36.602785,1
57.8,0,22.163688,1
79.85,2,94.162061,3
11.46,0,34.703497,0
14.18,0,56.930105,2
94.72,0,69.055072,3
23.45,2,43.21587899999999,0
73.56,1,83.41971,3
24.57,0,47.137608,0
5.26,2,32.637454,0
55.83,2,50.91985,3
29.73,1,64.17432000000001,2
89.65,2,11.448216,1
15.11,0,79.659455,2
23.05,1,23.316664,0
45.52,0,13.857147,0
94.63,1,21.93909,1
65.3,2,44.970822,3
45.44,0,48.62158399999999,0
36.85,0,93.11155799999999,2
37.11,2,59.88809700000001,2
79.89,2,18.326,1
72.24,2,17.68274,1
73.56,0,73.43923,3
58.8,1,17.955376,1
23.74,1,26.936476,0
18.49,0,57.81986,2
76.16,0,60.48110399999999,3
46.59,0,28.398528,0
46.26,0,59.73229600000001,2
94.26,1,71.90700799999999,3
45.02,2,4.178736000000001,0
92.86,2,58.571919,3
