Claim Settlement Time,Claim Approval Rate,Claims Handling Process,Service_score
19.32,98.45,0,0
14.22,86.24,2,1
29.53,94.47,0,0
23.75,97.16,1,0
21.25,93.39,1,0
19.49,90.55,0,0
5.74,95.12,0,2
3.85,81.52,2,1
7.89,94.22,0,2
19.88,96.69,0,0
11.42,96.98,1,2
26.06,97.87,2,1
10.41,80.48,1,2
22.66,97.15,1,0
12.99,85.85,0,2
21.74,95.89,1,0
25.05,91.27,0,0
22.15,81.94,0,0
24.1,84.41,0,0
1.36,82.85,0,2
2.94,90.62,2,1
9.35,83.06,1,2
1.99,86.0,1,2
21.65,83.09,2,1
27.08,99.65,1,0
10.0,98.22,1,2
13.23,98.18,0,2
13.51,86.51,2,1
3.74,97.79,1,2
4.58,84.54,2,1
9.01,83.6,1,2
28.82,95.13,2,1
2.43,82.23,0,2
25.96,94.39,2,1
23.84,93.44,0,0
18.99,85.19,0,0
16.66,86.38,1,0
7.72,98.02,1,2
8.93,82.85,0,2
4.06,86.12,1,2
15.86,98.52,1,0
17.28,91.2,2,1
25.89,89.34,1,0
10.23,96.81,0,2
18.89,92.19,2,1
1.34,96.58,2,1
2.97,94.02,1,2
17.49,85.99,1,0
19.46,84.23,0,0
4.25,90.31,1,2
28.95,84.56,0,0
15.84,93.95,2,1
19.49,98.68,2,1
19.77,91.71,0,0
21.72,95.05,1,0
6.69,91.89,1,2
7.3,85.59,1,2
3.17,88.86,0,2
6.11,94.82,2,1
8.39,85.22,0,2
25.51,88.25,1,0
9.25,86.83,0,2
3.41,95.96,1,2
14.11,96.79,2,1
10.86,89.05,2,1
26.95,80.44,0,0
14.21,83.78,1,2
29.48,94.64,2,1
21.59,86.43,1,0
21.96,91.62,1,0
21.59,90.7,1,0
15.08,90.36,2,1
19.77,99.04,1,0
26.22,80.64,2,1
20.46,81.57,2,1
14.88,81.02,0,2
22.2,91.05,2,1
2.23,87.22,1,2
8.26,96.82,1,2
5.46,82.37,1,2
27.94,88.36,1,0
27.4,90.32,1,0
3.01,94.41,2,1
27.27,86.33,0,0
24.46,83.09,1,0
13.2,94.67,1,2
21.49,90.59,2,1
10.26,87.6,1,2
1.83,88.06,1,2
8.53,96.58,1,2
12.31,98.73,0,2
6.53,87.2,2,1
5.19,81.6,2,1
17.1,98.48,1,0
1.17,85.57,2,1
4.52,82.77,0,2
24.04,99.95,0,0
21.4,82.4,2,1
16.79,90.43,1,0
26.81,81.45,1,0
21.65,98.19,1,0
8.84,85.69,2,1
18.23,92.08,0,0
10.35,87.18,2,1
18.74,89.29,0,0
7.29,82.19,1,2
29.74,89.74,2,1
26.58,89.37,1,0
28.58,97.19,2,1
7.85,81.4,1,2
8.66,93.37,2,1
23.38,81.75,1,0
6.44,90.05,2,1
8.6,85.06,2,1
20.57,91.57,1,0
10.9,87.44,0,2
12.82,81.78,2,1
25.09,97.14,1,0
1.39,82.37,0,2
1.38,90.96,2,1
13.83,89.65,1,2
18.99,94.05,0,0
3.99,98.4,2,1
9.16,82.69,1,2
9.24,97.07,1,2
4.77,83.87,1,2
18.51,87.48,0,0
15.67,90.41,1,0
18.99,98.46,2,1
27.83,87.53,1,0
27.35,93.31,1,0
3.41,81.43,0,2
16.71,97.38,0,0
6.2,95.47,2,1
26.99,81.79,2,1
16.01,96.41,1,0
10.66,96.77,2,1
9.46,85.39,1,2
1.79,84.45,0,2
23.24,91.14,1,0
25.95,93.41,0,0
19.07,95.75,1,0
23.1,85.68,1,0
16.41,94.77,0,0
18.68,91.51,1,0
9.95,96.83,1,2
7.01,91.83,1,2
17.77,92.57,0,0
11.95,81.78,0,2
23.18,97.36,1,0
24.67,97.94,2,1
14.36,98.29,2,1
28.39,86.24,1,0
3.63,84.85,2,1
19.67,95.45,2,1
11.84,82.82,0,2
7.62,99.47,0,2
27.51,89.95,0,0
20.2,84.66,0,0
6.48,90.24,1,2
19.29,92.08,0,0
13.15,91.16,2,1
13.14,96.73,1,2
11.71,96.51,2,1
24.55,87.54,2,1
5.95,93.77,2,1
9.1,81.48,2,1
15.26,95.61,2,1
14.76,95.88,0,2
8.1,80.77,2,1
19.91,85.15,1,0
10.18,83.3,1,2
9.53,97.78,2,1
23.69,86.03,0,0
15.2,87.38,2,1
23.98,82.33,2,1
13.52,80.25,0,2
22.62,99.28,0,0
25.99,87.19,1,0
9.86,97.5,2,1
10.22,86.19,2,1
17.06,92.58,0,0
4.57,83.71,0,2
27.04,94.01,0,0
5.88,80.6,0,2
21.81,83.85,1,0
7.07,88.18,2,1
8.82,84.03,2,1
27.41,87.8,2,1
8.6,95.74,2,1
1.41,99.86,1,2
16.92,96.84,1,0
29.08,84.81,2,1
19.19,80.78,0,0
11.56,99.83,2,1
27.91,85.62,2,1
23.24,93.89,1,0
27.39,89.46,2,1
19.58,90.92,1,0
17.3,87.72,2,1
19.56,93.34,1,0
10.62,81.4,2,1
26.09,86.15,1,0
25.96,90.13,2,1
6.65,88.69,0,2
23.77,89.2,1,0
22.99,87.88,2,1
27.88,95.41,0,0
17.4,89.94,2,1
3.41,99.63,1,2
7.99,92.02,0,2
6.23,85.55,0,2
1.95,98.37,1,2
22.55,80.95,0,0
2.42,94.94,0,2
25.13,94.77,0,0
8.02,81.25,0,2
11.77,85.63,1,2
12.46,87.61,0,2
29.26,81.3,0,0
4.45,86.57,0,2
11.52,96.09,2,1
9.37,89.26,0,2
17.67,87.32,1,0
29.75,94.43,0,0
19.55,94.51,2,1
3.89,95.25,1,2
6.34,81.92,0,2
7.75,99.09,0,2
16.47,86.1,2,1
1.54,83.8,0,2
10.13,92.41,1,2
17.21,82.03,2,1
10.47,89.01,0,2
4.25,97.39,0,2
4.74,80.93,0,2
5.94,85.72,1,2
20.47,94.04,0,0
27.39,93.57,0,0
25.86,92.34,0,0
4.5,99.46,2,1
9.94,82.37,1,2
23.37,85.23,2,1
29.05,84.71,2,1
12.06,87.94,2,1
3.25,99.98,0,2
15.62,96.68,2,1
5.59,80.73,0,2
14.38,80.08,2,1
13.91,92.41,0,2
22.48,83.81,0,0
17.87,95.75,2,1
16.45,88.82,0,0
27.18,82.02,0,0
29.18,88.12,1,0
14.62,83.9,0,2
22.14,98.71,0,0
17.83,91.26,1,0
6.66,87.51,0,2
6.09,85.49,0,2
9.03,90.17,2,1
7.41,82.06,1,2
4.6,98.23,1,2
7.93,99.5,2,1
15.66,97.63,2,1
20.97,80.49,1,0
6.7,96.39,1,2
27.71,83.36,1,0
10.36,87.21,2,1
2.92,95.02,1,2
22.87,90.27,0,0
7.01,87.24,1,2
10.06,91.23,1,2
14.64,84.95,1,2
26.57,82.74,0,0
29.07,97.6,0,0
22.25,90.12,2,1
21.18,82.43,2,1
19.48,94.54,0,0
10.8,81.92,1,2
12.01,94.13,2,1
20.31,80.37,0,0
22.67,93.48,1,0
15.58,99.01,0,2
27.55,85.72,2,1
19.1,92.84,1,0
18.58,94.17,0,0
28.67,85.63,2,1
8.64,93.24,1,2
16.07,84.72,0,0
1.82,87.67,0,2
2.62,93.02,0,2
4.25,92.39,0,2
3.83,93.68,0,2
11.7,92.87,0,2
12.98,94.06,0,2
23.26,94.58,0,0
19.52,96.91,0,0
17.08,95.35,2,1
9.81,95.14,1,2
5.21,84.34,1,2
4.41,94.76,1,2
27.43,88.29,0,0
12.07,90.68,2,1
26.01,80.79,0,0
5.92,97.67,0,2
7.32,87.35,0,2
28.6,97.59,2,1
21.02,94.04,1,0
22.13,96.16,2,1
23.18,97.72,1,0
4.54,86.89,2,1
8.2,88.73,2,1
8.23,89.77,0,2
10.52,99.47,0,2
10.74,89.7,2,1
7.22,83.71,0,2
6.41,87.92,2,1
27.01,91.43,1,0
14.99,95.48,1,2
12.13,92.8,2,1
29.46,87.48,2,1
5.99,80.66,1,2
16.29,96.81,1,0
12.55,97.19,1,2
26.9,93.57,2,1
19.44,93.44,2,1
7.26,99.17,2,1
14.0,89.97,2,1
2.97,95.24,2,1
24.96,89.86,1,0
9.98,96.22,2,1
5.07,82.33,2,1
5.15,83.09,2,1
21.34,95.68,1,0
26.12,99.9,1,0
16.12,99.63,1,0
6.4,97.09,1,2
13.72,99.5,0,2
16.32,92.39,0,0
19.57,98.47,1,0
2.97,95.58,1,2
2.97,83.87,2,1
1.81,87.71,1,2
10.75,98.44,0,2
14.45,83.35,0,2
25.89,81.58,1,0
22.2,80.35,0,0
17.48,94.69,1,0
4.6,98.25,2,1
14.68,80.93,1,2
8.42,87.41,0,2
16.99,91.22,0,0
14.08,84.02,0,2
22.21,94.45,2,1
10.75,84.51,1,2
3.67,81.27,2,1
10.04,95.24,2,1
10.33,88.93,2,1
20.2,84.54,1,0
28.41,99.83,2,1
12.98,97.44,1,2
28.67,94.62,1,0
6.02,91.02,1,2
